,Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
0,0,laughter,laughter,8.5,0.9313
1,1,happiness,happiness,8.44,0.9723
2,2,love,love,8.42,1.1082
3,3,happy,happy,8.3,0.9949
4,4,laughed,laughed,8.26,1.1572
5,5,laugh,laugh,8.22,1.3746
6,6,laughing,laughing,8.2,1.1066
7,7,excellent,excellent,8.18,1.1008
8,8,laughs,laughs,8.18,1.1551
9,9,joy,joy,8.16,1.0568
10,10,successful,successful,8.16,1.0759
11,11,win,win,8.12,1.0812
12,12,rainbow,rainbow,8.1,0.9949
13,13,smile,smile,8.1,1.0152
14,14,won,won,8.1,1.2164
15,15,pleasure,pleasure,8.08,0.9655
16,16,smiled,smiled,8.08,1.066
17,17,rainbows,rainbows,8.06,1.3603
18,18,winning,winning,8.04,1.049
19,19,celebration,celebration,8.02,1.5318
20,20,enjoyed,enjoyed,8.02,1.5318
21,21,healthy,healthy,8.02,1.0593
22,22,music,music,8.02,1.1156
23,23,celebrating,celebrating,8.0,1.1429
24,24,congratulations,congratulations,8.0,1.6288
25,25,weekend,weekend,8.0,1.2936
26,26,celebrate,celebrate,7.98,1.1516
27,27,comedy,comedy,7.98,1.1516
28,28,jokes,jokes,7.98,0.9792
29,29,rich,rich,7.98,1.3169
30,30,victory,victory,7.98,1.0784
31,31,christmas,christmas,7.96,1.293
32,32,free,free,7.96,1.261
33,33,friendship,friendship,7.96,1.1241
34,34,fun,fun,7.96,1.3087
35,35,holidays,holidays,7.96,1.261
36,36,loved,loved,7.96,1.1599
37,37,loves,loves,7.96,1.3696
38,38,loving,loving,7.96,1.0093
39,39,beach,beach,7.94,1.0577
40,40,hahaha,hahaha,7.94,1.5572
41,41,kissing,kissing,7.94,1.1323
42,42,sunshine,sunshine,7.94,1.1678
43,43,beautiful,beautiful,7.92,1.1753
44,44,delicious,delicious,7.92,1.2591
45,45,friends,friends,7.92,1.1925
46,46,funny,funny,7.92,1.0467
47,47,outstanding,outstanding,7.92,1.14
48,48,paradise,paradise,7.92,1.3974
49,49,sweetest,sweetest,7.92,1.2911
50,50,vacation,vacation,7.92,1.9042
51,51,butterflies,butterflies,7.92,1.077
52,52,freedom,freedom,7.9,1.4178
53,53,flower,flower,7.88,1.1718
54,54,great,great,7.88,1.2061
55,55,sunlight,sunlight,7.88,1.4934
56,56,sweetheart,sweetheart,7.88,1.272
57,57,sweetness,sweetness,7.88,1.1891
58,58,award,award,7.86,1.5651
59,59,chocolate,chocolate,7.86,1.0304
60,60,hahahaha,hahahaha,7.86,1.7025
61,61,heaven,heaven,7.86,1.578
62,62,peace,peace,7.86,1.3403
63,63,splendid,splendid,7.86,1.457
64,64,success,success,7.86,1.6414
65,65,enjoying,enjoying,7.84,1.5032
66,66,kissed,kissed,7.84,1.5048
67,67,attraction,attraction,7.82,1.024
68,68,celebrated,celebrated,7.8,1.178
69,69,hero,hero,7.8,1.3997
70,70,hugs,hugs,7.8,1.4428
71,71,positive,positive,7.8,1.2454
72,72,sun,sun,7.8,1.3553
73,73,birthday,birthday,7.78,1.9091
74,74,blessed,blessed,7.78,1.2824
75,75,fantastic,fantastic,7.78,1.0934
76,76,winner,winner,7.78,1.6938
77,77,delight,delight,7.78,1.4181
78,78,beauty,beauty,7.76,1.6107
79,79,butterfly,butterfly,7.76,1.3334
80,80,entertainment,entertainment,7.76,1.2216
81,81,funniest,funniest,7.76,1.5592
82,82,honesty,honesty,7.76,1.2707
83,83,sky,sky,7.76,1.0797
84,84,smiles,smiles,7.76,1.7907
85,85,succeed,succeed,7.76,1.6971
86,86,wonderful,wonderful,7.76,1.7907
87,87,glorious,glorious,7.74,1.3969
88,88,kisses,kisses,7.74,1.192
89,89,promotion,promotion,7.74,1.3822
90,90,family,family,7.72,1.3099
91,91,gift,gift,7.72,1.3407
92,92,humor,humor,7.72,1.0887
93,93,romantic,romantic,7.72,1.1959
94,94,cupcakes,cupcakes,7.7,1.233
95,95,festival,festival,7.7,1.0738
96,96,hahahahaha,hahahahaha,7.7,1.359
97,97,honour,honour,7.7,1.2495
98,98,relax,relax,7.7,1.0738
99,99,weekends,weekends,7.7,1.7871
100,100,angel,angel,7.68,1.2362
101,101,b-day,b-day,7.68,1.5312
102,102,bonus,bonus,7.68,1.463
103,103,brilliant,brilliant,7.68,1.6218
104,104,diamonds,diamonds,7.68,1.4769
105,105,holiday,holiday,7.68,1.3005
106,106,lucky,lucky,7.68,1.2688
107,107,mother,mother,7.68,1.6714
108,108,super,super,7.68,1.5964
109,109,amazing,amazing,7.66,1.493
110,110,angels,angels,7.66,1.4654
111,111,enjoy,enjoy,7.66,1.4654
112,112,friend,friend,7.66,1.5066
113,113,friendly,friendly,7.66,1.5467
114,114,mother's,mother's,7.66,1.2875
115,115,profit,profit,7.66,1.239
116,116,finest,finest,7.66,1.3875
117,117,bday,bday,7.64,1.6753
118,118,champion,champion,7.64,1.2249
119,119,grandmother,grandmother,7.64,1.3516
120,120,haha,haha,7.64,1.3815
121,121,kiss,kiss,7.64,1.7585
122,122,kitten,kitten,7.64,1.2898
123,123,miracle,miracle,7.64,1.8926
124,124,mom,mom,7.64,1.8709
125,125,sweet,sweet,7.64,1.0645
126,126,blessings,blessings,7.62,1.6274
127,127,bright,bright,7.62,1.1409
128,128,cutest,cutest,7.62,1.0859
129,129,entertaining,entertaining,7.62,1.0859
130,130,excited,excited,7.62,1.3981
131,131,excitement,excitement,7.62,1.6523
132,132,joke,joke,7.62,1.3981
133,133,millionaire,millionaire,7.62,2.1275
134,134,prize,prize,7.62,1.2103
135,135,succeeded,succeeded,7.62,1.1409
136,136,successfully,successfully,7.62,1.2599
137,137,winners,winners,7.62,1.5372
138,138,shines,shines,7.6,1.5944
139,139,awesome,awesome,7.6,1.5908
140,140,genius,genius,7.6,1.2454
141,141,achievement,achievement,7.58,1.4299
142,142,cake,cake,7.58,1.1082
143,143,cheers,cheers,7.58,1.4721
144,144,exciting,exciting,7.58,1.3415
145,145,goodness,goodness,7.58,1.3716
146,146,hug,hug,7.58,1.4721
147,147,income,income,7.58,1.6047
148,148,party,party,7.58,1.4581
149,149,puppy,puppy,7.58,1.4581
150,150,smiling,smiling,7.58,1.7034
151,151,song,song,7.58,1.3415
152,152,succeeding,succeeding,7.58,1.3415
153,153,tasty,tasty,7.58,1.1265
154,154,victories,victories,7.58,1.7623
155,155,achieved,achieved,7.56,1.3726
156,156,billion,billion,7.56,1.6679
157,157,cakes,cakes,7.56,1.4591
158,158,easier,easier,7.56,1.1457
159,159,flowers,flowers,7.56,1.4309
160,160,gifts,gifts,7.56,1.9395
161,161,gold,gold,7.56,1.1095
162,162,merry,merry,7.56,1.1457
163,163,families,families,7.54,1.2811
164,164,handsome,handsome,7.54,1.2488
165,165,lovers,lovers,7.54,1.2811
166,166,affection,affection,7.53,1.5289
167,167,candy,candy,7.52,1.4879
168,168,cute,cute,7.52,1.1993
169,169,diamond,diamond,7.52,1.7171
170,170,earnings,earnings,7.52,1.4177
171,171,interesting,interesting,7.52,1.1822
172,172,peacefully,peacefully,7.52,1.0544
173,173,praise,praise,7.52,1.4741
174,174,relaxing,relaxing,7.52,1.2162
175,175,roses,roses,7.52,1.2493
176,176,saturdays,saturdays,7.52,1.729
177,177,faithful,faithful,7.51,1.3248
178,178,heavens,heavens,7.51,1.7335
179,179,cherish,cherish,7.5,1.4743
180,180,comfort,comfort,7.5,1.1473
181,181,congrats,congrats,7.5,1.5419
182,182,cupcake,cupcake,7.5,1.7642
183,183,earn,earn,7.5,1.3439
184,184,extraordinary,extraordinary,7.5,1.374
185,185,glory,glory,7.5,1.6067
186,186,hilarious,hilarious,7.5,1.9821
187,187,moonlight,moonlight,7.5,1.359
188,188,optimistic,optimistic,7.5,1.3132
189,189,peaceful,peaceful,7.5,1.0926
190,190,romance,romance,7.5,1.4321
191,191,feast,feast,7.49,1.6473
192,192,attractive,attractive,7.48,0.9739
193,193,glad,glad,7.48,1.5151
194,194,grandma,grandma,7.48,1.5016
195,195,internet,internet,7.48,1.313
196,196,pleasant,pleasant,7.48,1.2162
197,197,profits,profits,7.48,1.3285
198,198,smart,smart,7.48,1.3738
199,199,x-mas,x-mas,7.48,1.821
200,200,babies,babies,7.46,1.5012
201,201,cheer,cheer,7.46,1.6807
202,202,courage,courage,7.46,1.1817
203,203,enthusiasm,enthusiasm,7.46,1.1287
204,204,honest,honest,7.46,1.1287
205,205,loyal,loyal,7.46,1.2488
206,206,opportunities,opportunities,7.46,1.0919
207,207,triumph,triumph,7.46,1.8318
208,208,wow,wow,7.46,1.4458
209,209,jewels,jewels,7.46,1.6153
210,210,forests,forests,7.45,1.332
211,211,apple,apple,7.44,1.2316
212,212,dreams,dreams,7.44,1.4165
213,213,fantasy,fantasy,7.44,1.6183
214,214,food,food,7.44,1.2149
215,215,honey,honey,7.44,1.5928
216,216,miracles,miracles,7.44,1.9395
217,217,sex,sex,7.44,1.6801
218,218,sing,sing,7.44,1.3426
219,219,starlight,starlight,7.44,1.4165
220,220,thankful,thankful,7.44,1.5005
221,221,wins,wins,7.44,1.2643
222,222,achieve,achieve,7.42,1.2304
223,223,adored,adored,7.42,1.4441
224,224,cash,cash,7.42,1.6671
225,225,dances,dances,7.42,1.295
226,226,gorgeous,gorgeous,7.42,1.9597
227,227,grandchildren,grandchildren,7.42,1.5131
228,228,incredible,incredible,7.42,1.3415
229,229,lunch,lunch,7.42,1.0897
230,230,mommy,mommy,7.42,1.7623
